ID#,Report Date,MSG#,Discoverer(s),CAMS,Group,Images of...
67,Mar03 2017 05:41PM,Email,T.Prestgard,H1A,Kreutz,Feb09 2008
68,Jun24 2014 09:42AM,Email,T.Prestgard,H1A,Kreutz,Dec18 2008
STXC,Jun25 2014 03:52PM,Email,T.Prestgard,H1A,Kreutz,Dec13 2009
69,Apr24 2014 01:17PM,Email,T.Prestgard,H1A,Kreutz,Dec21 2009
70,Apr24 2014 01:17PM,Email,T.Prestgard,H1A,Kreutz,Dec23 2009
71,Feb26 2016,2406,T.Prestgard,H1A,Kreutz,Feb14 2016
72,Feb23 2016,2400,T.Prestgard,H1A,Kreutz,Feb20 2016
STXC,Mar06 2016 03:15PM,Email,T.Prestgard,H1A,Kreutz,Mar04 2016
75,Jan13 2017 08:17PM,2459,T.Prestgard,H1A,Kreutz,Jan11-12 2017
76,Jan15 2017 09:28PM,2460,T.Prestgard,H1A,Kreutz,Jan13 2017
85,Mar02 2017 06:24PM,2495,T.Prestgard,H1A,Kreutz,Feb19 2017
87,Mar06 2017 08:52PM,2500,T.Prestgard,HI-1,Kreutz,Mar02 2017
88,Sep06 2017 05:48AM,2508,T.Prestgard,HI-1,NonGrp,Aug21-22 2017
89,Dec28 2017 05:53AM,2524,T.Prestgard,HI-1,Kreutz,Dec25 2017
90,Dec29 2017 02:01PM,2527,T.Prestgard,HI-1,Kreutz,Dec26-27 2017
93,Jan15 2018 18:54,2538,T.Prestgard,HI-1,Kreutz,Jan13 2018
95,Jan17 2018 07:04,2542,T.Prestgard,HI-1,Kreutz,Jan14-15 2018
96,Jan18 2018 19:37,2545,T.Prestgard,HI-1,Kreutz,Jan16 2018
105,Nov24 2018 21:59,2644,T.Prestgard,HI-1,Kreutz,Nov22 2018
107,Jan01 2019 12:45,2655,T.Prestgard,HI-1,Kreutz,Dec28 2018
109,Jan02 2019 23:36,2657,T.Prestgard,HI-1,Kreutz,Dec31 2018
110,Jan06 2019 17:58,2658,T.Prestgard,HI-1,Kreutz,Jan01 2019
112,Jan03 2019 17:58,2658,T.Prestgard,HI-1,Kreutz,Jan01 2019
113,Jan04 2019 18:09,2661,T.Prestgard,HI-1,Kreutz,Jan02 2019
114,Jan09 2019 17:56,2663,T.Prestgard,HI-1,Kreutz,Jan07 2019
115,Jan09 2019 17:56,2663,T.Prestgard,HI-1,Kreutz,Jan07 2019
116,Jan19 2019 11:28,2665,T.Prestgard,HI-1,Kreutz,Jan15 2019
118,Feb03 2019 03:53,2668,T.Prestgard,HI-1,Kreutz,Jan19 2019
