PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,COMET GROUP
2008-02-17.76,C/2008 D01 (STEREO) STEREO-001,A.Watson,HI1A,0.0052,Kreutz
2008-02-20.51,C/2008 D02 (STEREO) STEREO-002,A.Watson,HI1A,0.0051,Kreutz
2008-02-22.398,C/2008 D03 (STEREO) STEREO-003,A.Watson,HI1A COR2A COR2B,0.00528,Kreutz
2008-03-06.81,C/2008 E05 (STEREO) STEREO-005,A.Watson,HI1A,0.0051,Kreutz
2008-03-09.03,C/2008 E10 (STEREO) STEREO-017,A.Watson,HI1A,0.0053,Kreutz
2008-11-19.97,C/2008 W01 (STEREO) STEREO-007,A.Watson,HI1B,0.0051,Kreutz
2009-01-05.46,C/2009 A08 (STEREO) STEREO-008,A.Watson,HI1A,0.0055,Kreutz
2009-01-03.31,C/2009 A06(STEREO) STEREO-009,A.Watson,HI1A,0.0052,Kreutz
2009-01-01.74,C/2008 Y16 (STEREO) STEREO-010,A.Watson,HI1A,0.0051,Kreutz
2009-01-11.66,C/2009 A10 (STEREO) STEREO-019,A.Watson,HI1A,0.0050,Kreutz
2009-01-11.78,C/2009 A1 (STEREO) STEREO-011,A.Watson,HI1A HI1B,0.1271,Non-Group
-2009,C/2009 (STEREO) STEREO-022,A.Watson,HI1B,,Kreutz
-2009,C/2009 (STEREO) STEREO-023,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-024,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-025,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-026,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-027,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-031,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-032,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-034,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-036,A.Watson,HI1A,,Kreutz
-2009,C/2009 (STEREO) STEREO-037,A.Watson,HI1A,,Kreutz
