PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
2015,C/2015 SOHO-2872 ,P.Sun ,C3 
2014,C/2014 SOHO-2670 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2683 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2689 ,P.Sun ,C2 
2014,C/2014 SOHO-2693 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2695 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2697 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2699 ,P.Sun ,C2 
2014,C/2014 SOHO-2700 ,P.Sun ,C2 
2014,C/2014 SOHO-2701 ,P.Sun ,C2 
2014,C/2014 SOHO-2702 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2714 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2716 ,P.Sun ,C2 
2014,C/2014 SOHO-2717 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2720 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2721 ,P.Sun ,C2 
2014,C/2014 SOHO-2722 ,P.Sun ,C2 
2014,C/2014 SOHO-2723 ,P.Sun ,C2 
2014,C/2014 SOHO-2725 ,P.Sun ,C2 
2014,C/2014 SOHO-2728 ,P.Sun ,C2 
2014,C/2014 SOHO-2729 ,P.Sun ,C2 
2014,C/2014 SOHO-2732 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2734 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2735 ,P.Sun ,C2 
2014,C/2014 SOHO-2738 ,P.Sun ,C2 
2014,C/2014 SOHO-2744 ,P.Sun ,C2 
2014,C/2014 SOHO-2747 ,P.Sun ,C2 
2014,C/2014 SOHO-2752 ,P.Sun ,C2 
2014,C/2014 SOHO-2753 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2754 ,P.Sun ,C2 
2014,C/2014 SOHO-2755 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2757 ,P.Sun ,C2 
2014,C/2014 SOHO-2761 ,P.Sun ,C2 
2014,C/2014 SOHO-2762 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2764 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2765 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2776 ,P.Sun ,C3 
2014,C/2014 SOHO-2778 ,P.Sun ,C3 
2014,C/2014 SOHO-2785 ,P.Sun ,C3 
2014,C/2014 SOHO-2794 ,P.Sun ,C3 C2 
2014,C/2014 SOHO-2800 ,P.Sun ,C3 
2014,C/2014 SOHO-2817 ,P.Sun ,C2 
2014,C/2014 SOHO-2780 ,P.Sun/Z.Xu ,C3 
2013,C/2013 SOHO-2456 ,P.Sun ,C3 
2013,C/2013 SOHO-2460 ,P.Sun ,C3 
2013,C/2013 SOHO-2506 ,P.Sun ,C2 
2013,C/2013 SOHO-2510 ,P.Sun ,C2 
2013,C/2013 SOHO-2513 ,P.Sun ,C2 
2013,C/2013 SOHO-2520 ,P.Sun ,C2 
2013,C/2013 SOHO-2522 ,P.Sun ,C2 
2013,C/2013 SOHO-2524 ,P.Sun ,C2 
2013,C/2013 SOHO-2533 ,P.Sun ,C2 
2013,C/2013 SOHO-2535 ,P.Sun ,C2 
2013,C/2013 SOHO-2537 ,P.Sun ,C2 
2013,C/2013 SOHO-2539 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2545 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2552 ,P.Sun ,C2 
2013,C/2013 SOHO-2557 ,P.Sun ,C2 
2013,C/2013 SOHO-2560 ,P.Sun ,C3 
2013,C/2013 SOHO-2563 ,P.Sun ,C3 
2013,C/2013 SOHO-2571 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2573 ,P.Sun ,C3 
2013,C/2013 SOHO-2580 ,P.Sun ,C3 
2013,C/2013 SOHO-2586 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2589 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2594 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2626 ,P.Sun ,C2 
2013,C/2013 SOHO-2629 ,P.Sun ,C2 
2013,C/2013 SOHO-2632 ,P.Sun ,C2 
2013,C/2013 SOHO-2633 ,P.Sun ,C2 
2013,C/2013 SOHO-2636 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2637 ,P.Sun ,C2 
2013,C/2013 SOHO-2639 ,P.Sun ,C2 
2013,C/2013 SOHO-2640 ,P.Sun ,C3 
2013,C/2013 SOHO-2646 ,P.Sun ,C2 C3 
2013,C/2013 SOHO-2655 ,P.Sun ,C2 
2013,C/2013 SOHO-2458 ,P.Sun/C.Lin ,C3 
-2011,C/2011 SOHO-2116,P.Sun,C3
-2012,C/2012 SOHO-2338,P.Sun,C3
-2012,C/2012 SOHO-2350,P.Sun,C3
-2012,C/2012 SOHO-2377,P.Sun,C2 C3
-2012,C/2012 SOHO-2384,P.Sun,C2
-2012,C/2012 SOHO-2427,P.Sun,C2
