ID,Discoverer,comets
1,Ambrus A,1
2,Ball B,1
3,Banach E,9
4,Battams K,22
5,Berrett P,27
6,Bezugly V,6
7,Biesecker D,53
8,Biesiada M,9
9,Boonplod W,625
10,Boschat M,60
11,Cane L,3
12,Cao Z,3
13,Cernis K,21
14,Chen D,7
15,Chen T,9
16,Collison P,1
17,Cyr C St,3
18,Danaher J,11
19,Deshmukh S,8
20,Evans D,20
21,Farmer S Jr,13
22,Gallina G,2
23,Gao X,4
24,Godunov A,8
25,Gorelli R,2
26,Gregory S,2
27,Gu S,2
28,Gu W,3
29,Hammer D,5
30,Hanson D,2
31,Harincar T,1
32,Hoenig S,43
33,Hoffman T,117
34,Hui M T,10
35,Isaev E,2
36,Jin Z,6
37,Jger M,1
38,Johnson D,1
39,Kaluzny M,7
40,Kanbi K El,3
41,Kida K,28
42,Kotobuki,1
43,Kracht R,271
44,Kubczak A,26
45,Kusiak M,159
46,Leprette X,100
47,Lewis D,10
48,Liang C,3
49,Lin C,1
50,Liu L,3
51,Liwo S,106
52,Lovejoy T,11
53,Luethen H,1
54,Makkinen T,2
55,Matson R,103
56,Mattiazzo M,6
57,Maysonet P,10
58,Mazzucato M,7
59,McCarty B,9
60,Meyer M,40
61,Mimeev A,4
62,Mulye S,11
63,Nakano A,1
64,Nakonechny K,4
65,Oates M,144
66,Otterstedt H,7
67,Pappa G,2
68,Prestgard T,77
69,Renai S,2
70,Reszelewski R,4
71,Ruan J,72
72,Sachs J,54
73,Sato H,1
74,Scarmato T,25
75,Schenk K,11
76,Schmalz S,94
77,Shanklin J,5
78,Sharma P,2
79,Shkreby P,5
80,Shurpakov S,27
81,Stezelberger S,14
82,Su H,208
83,Sufa A,1
84,Sun G,9
85,Sun P,107
86,Suzuki M,1
87,Tan H,27
88,Tsai Y S,2
89,Uchina M,353
90,Vourlidas A,5
91,Wang B,1
92,Watson A,4
93,Xu Z,300
94,Yang Z,2
95,Ye Q,7
96,Yuan S,11
97,Zhang J,1
98,Zheng Q,2
99,Zhou B,381
100,Zhou X M,65
101,Zu X,11
102,Zhu J,1
